jobId,title,companyId,category,deadline,experience,education,requirements,preferences,salary,jobType,jobLocation,details,jobWebsite,hits,titleImageUrl,detailsImageUrl,bookmarks,createdAt,modifiedAt
0,title_modified,182,category_modified,2021-01-12 00:00:00,experience_modified,educatio_modifiedn,requirements_modified,preferences_modified,salary_modified,type_modified,location_modified,details_modified,jobwebsite_modified,8.0,titleImageUrl_modified,detailsImageUrl_modified,1.0,2023.02.04 16:00:00,2023-06-12 00:49:30
1,[경력] CO팀 CRA 채용 (서울본사),4,임상연구,,경력,대졸 이상 (4년제),"• 의학, 간호학, 약학, 생물학 등 임상시험 관련학과 졸업자
• 임상시험 CRA 경력 1년 이상자
• Oncology Study 경험자","• 임상시험 관련 규정에 대한 이해도가 있는 분(ICH/GCP, FDA 가이드라인 등)
• 영어활용 우수자",개별연봉제(면접 후 협의),정규직(면접 시 평가에 따라 수습기간 적용가능성 有),서울 강남구,"■ 담당업무
- IIT&SIT Management
- Site Management & Monitoring
- IRB related Activity
- Essential document management
- Study Set up
- Site contract
- Investigator's fee management
- Other study related operation tasks

■ 근무조건
- 고용형태 : 정규직(면접 시 평가에 따라 수습기간 적용가능성 有)
- 근무일시 : 주5일(월~금), 시차출퇴근제(Core time 오전 10시~오후 5시)
- 소속 : CO팀
- 급여 : 개별연봉제(면접 후 협의)
- 재택근무 : 근속 3개월 후 재택근무 가능
- 근무지역 : 서울특별시 강남구 역삼로 412, 씨엔알빌딩(2호선 선릉역, 지하주차장 무료)

■ 지원방법
- 홈페이지 지원, 이메일 지원
- 이메일 : recruit@cnrres.com
- 홈페이지 : www.cnrres.com > Careers
- 채용문의 : 이메일로 문의
- 이메일 지원 시 CV양식 자유",http://www.cnrres.com/careers/careers-list/?mod=document&pageid=1&keyword=CRA&uid=72,110.0,,,2.0,2023.02.04 16:00:00,
2,2023년 1월 임상의학연구소 임상연구직 경력직 채용,6,임상연구,2023-01-06 00:00:00,경력,학력 무관,"• CRC업무 2년 이상 경력자
• 식품의약품안전처 고시 ""임상시험 및 생물학적 동등성시험 종사자 교육"" [CRC] 이수자
• 군필자 또는 병역면제자로 해외여행에 결격사유가 없는 자","• 다국적임상시험 CRC 경력자
• 영어회화 성적 보유자
   ※ IH(OPIc), Level 7(토익스피킹) 이상
• 임상 경력자
• 간호사 면허증 소지자",,정규직,서울 강남구,"■ 수행업무
- 임상연구 과제 및 대상자 관리
- 임상연구 자료 수집 및 관리 등

■ 지원방법
입사지원서를 작성하기 전 반드시 [ 삼성서울병원 채용 홈페이지 > 지원안내 > 지원서작성안내 ] 내용을 확인해주시기 바랍니다.

- 삼성서울병원 채용 홈페이지(http://www.samsunghospital.com/home/recruit/main.do) 로그인
- 지원공고 입사지원작성
  ※ 계정이 없으신 분들은 먼저 회원가입을 완료하시기 바랍니다.
  ※ 접수번호 부여 후 최종 지원 완료이니 확인 바랍니다.
  ※ 지원서 임의 삭제 시 해당 공고 재지원이 제한됩니다.
  ※ 현재 지원 접수중인 타 부문 지원자는 중복 지원이 불가능합니다.

■ 전형절차
- 지원서접수 → 서류전형 → 1차면접 → 2차면접 → 채용건강검진 → 최종합격

■ 제출서류
- 국가등록장애인 및 국가보훈 대상자는 관련법 및 내부규정에 의거하여 우대합니다.
  ※ 우대사항에 해당하는 경우 접수기간 내 증빙서류 스캔본 이메일 제출
- 졸업증명서(원본) 1부
- 성적증명서(원본) 1부
- 경력(재직)증명서(원본) 1부
- 자격증 및 면허증(사본) 1부
  ※ 졸업·성적증명서는 전문학사 이상 전학력 제출
  ※ 편입한 경우 전적대 수료, 자퇴, 제적 등 증빙 제출
  ※ 서류전형 합격자에 한하여 1차 면접 시 제출

■ 기타사항
- 지원서는 삼성서울병원 채용 홈페이지를 통해 접수하며, 그 외의 개별 접수는 받지 않습니다.
- 기재 내용에 허위사실이 있는 경우 합격이 취소될 수 있습니다.
- 전형단계별 결과는 삼성서울병원 채용 홈페이지에 로그인하여 확인하실 수 있습니다.
- 입사지원자께서는 입사지원 시점부터 채용전형 전체 과정에 걸쳐 전/현직 직장의 영업비밀을 침해하는 일이 없도록 각별히 유의하시기 바랍니다.

■ 문의
- 전화번호 : 02)3410-3085
- 이메일 : smc.recruit@samsung.com",https://www.samsunghospital.com/home/recruit/recruitInfo/recruitNoticeView.do?RECRUIT_CD=2022EAJ0020&cPage=1&ST=ALL&JOB_CODE=EAJ,7.0,,,1.0,2023.02.04 16:00:00,
3,[현대로템] 보건관리자 모집,7,보건관리자,2023-01-02 00:00:00,경력,학사 이상,"• 보건관리자 직무 3년 이상 경력자
• 현장 보건관리업무 경력자","• 관련 자격증 소지자(산업위생관리산업기사 이상)
• 안전관리업무 유경험자
• 보건업무기획 유경험자
• OA능력 우수자",,계약직,경기 의왕시,"• 산업안전보건령법(령) 제22조 보건관리자의 업무
• 보건정책수립 및 사업장 보건관리
• 작업환경측정 및 건강검진
• 사업장 감염병 관리 및 대응
• 임직원 건강 증진
• 화학물질 관리
• 건강관리실 운영",https://hyundai-rotem.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=126525,7.0,,,1.0,2023.02.04 16:00:00,
4,충북대학교병원 국책과제수행 연구간호사 채용,8,임상연구,2023-01-10 00:00:00,경력,대졸 이상 (4년),경력 2년 이상,"• 의/약학, 간호학, 임상병리학
• 의무기록사",,계약직(무기계약직),충북 청주시 서원구,"• 근무형태 : 계약직(무기계약직)
• 근무일시 : 09:00~18:00
• 근무지역 : (28644) 충북 청주시 서원구 1순환로 충북대학교병원",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44415440&view_type=search,3.0,,,1.0,2023.02.04 16:00:00,
5,성형외과 연구간호사 모집 (계약직),2,임상연구,2023-02-25 00:00:00,경력 무관,"초대졸 이상 (2, 3년제)",,,월급 250 만원 (주 40시간),계약직,서울 송파구,"모집부문 및 업무내용 : 성형외과 연구간호사

지원자격 : 간호사, 의무기록사 등 (임상시험종사자 교육 이수자 우대/신입 가능)

근무지 : 서울아산병원 아산생명과학연구관
- 연차 : 12일 + 여름휴가 5일
- 4대 보험 적용 안됨
- 업무시작일: ASAP

지원방법 : 사람인 접수 또는 서울아산병원 성형외과 메일로 부탁드립니다 : ps@amc.seoul.kr

문의번호 : 02-2045-4291",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44723624&view_type=search,62.0,,,1.0,2023.02.04 16:00:00,
6,분당서울대병원 정신건강의학과에서 연구간호사를 모집합니다.,1,임상연구,2022-12-30 00:00:00,경력 무관,대졸(4년제) 이상,간호사 면허 소지,"연구간호사 경력 소지자 및 임상시험종사자교육 이수자, 해당직무 근무경험, 컴퓨터활용능력 우수","월 250 ~ 300만원 (세전, 풀타임근무기준, 경력에 따라 협상 가능, 산재 및 고용보험 포함, 퇴직급여 충당 포함)","계약직-1년, (교수님 개인 소속 연구간호사)",경기 성남시 분당구,"1. 지원자격
ㆍ경력 : 무관 (신입도 지원 가능)
ㆍ필수자격: 간호사 면허 소지

2. 우대사항
ㆍ연구간호사 경력 소지자 및 임상시험종사자교육 이수자, 해당직무 근무경험, 컴퓨터활용능력 우수

3. 근무내용
ㆍ연구 지원 업무: 환자 연구 등록, 연구 동의서 구득, 환자 섬망 평가 및 연구 검사 진행     
ㆍ연구 행정 업무: 연구관련 문서 관리 (IRB 관리, eCRF 입력 등) ",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44668049&view_type=search,2.0,,,1.0,2023.02.04 16:00:00,
7,신촌세브란스병원 소아혈액종양과 연구간호사 채용,9,임상연구,2022-12-31 00:00:00,경력 무관,"대졸(2,3년제) 이상 간호학과",간호사 면허소지자,연구간호사 경력직 우대,"세후 280만원, 4대보험 미적용",계약직,서울 서대문구,"-모집인원: 1명

-자격조건: 간호사 면허소지자(필수), 연구간호사 경력직 우대

-근무지: 연세암병원 소아청소년암센터

-근무형태: 계약직

-근무내용: 임상연구 관련업무

(SIT, IIT 임상연구 환자관리, 증례기록서 작성 및 SAE보고, 연구자 주도 연구 관리 및 IRB서류 업무)

-근무조건: 급여 세후 280만원, 4대보험 미적용

휴가(월차: 입사 후 익월부터 1일/월, 연차: 6일), 개인책상, 업무용 PC, 필요한 사무물품, 랩가운 & 명함 제공

-근무시간: 주 5일/ 9:00~17:00 (코어시간 지키는 내에서 탄력적 협의가능)

-기타: 1년마다 급여 협상 후 조절됩니다.

-업무시작일: ASAP

-전형절차: 서류전형 후 면접

-제출서류: 이메일접수(ddalki0113@yuhs.ac)

이력서(사진포함), 자기소개서, 임상연구 교육이수 현황 기재, 이수증 첨부

-서류 합격자는 추후 개별 면접일정 연락 드립니다.

-기타 문의사항: 02-2227-4175",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44687879&view_type=search,0.0,,,0.0,2023.02.04 16:00:00,
8,연구간호사(CRC) 채용 / 정규직 전환 가능,10,임상연구,2023-01-19 00:00:00,경력,"대졸 이상 (2, 3년)","• 경력 1년 이상
• CRC 업무 유경험자",,면접 후 결정,계약직 (정규직 전환가능),부산 해운대구,"■ 근무조건
- 근무형태 :  계약직 (정규직 전환가능)
- 연봉 : 면접 후 결정
- 근무일시 : 09:00 ~ 18:00
- 근무지역 : (48002) 부산 해운대구 반송로 513번길 66-47 테크노타워(석대동)

■ 접수조건 및 방법
- 접수기간  :  2022년 12월 05일 (월) 12시 ~ 채용시 마감
- 접수방법 : 사람인 입사지원
- 이력서 양식 : 자유 양식
- 제출서류 :
1. (필수) 이력서
2. (필수) 자기소개서 : 직무경험/경력 위주 상세 기술
3. (필수) 경력기술서 : 경력 및 수행 업무 상세 기재 요망

※ 상기의 지원서류는 모두 자유 양식입니다.

※ 서류전형에 한하여, 합격자에게만 개별 안내드립니다.

■ 유의사항
- 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.
- 적합인원 지원 시, 조기에 채용절차가 마감될 수 있습니다.",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44570620&view_type=search,12.0,,,0.0,2023.02.04 16:00:00,
9,서울아산병원 심장내과 임상 연구 간호사(개인 PI 교수 소속),2,임상연구,2023-01-19 00:00:00,경력,대졸 이상 (4년),"• 경력 1년 이상 (연구원, 팀원급)
• CRC 업무 경력자 우대
• 임상시험 종사자  교육 이수","• CRC 업무 경력자 우대
• 임상시험 종사자 교육 이수","연봉 3,000 만원 (주 40시간) ",프리랜서,서울 송파구 ,"서울아산병원 심장내과 임상 연구 간호사 (교수 소속)

■ 근무 조건
- 근무형태 : 프리랜서
- 근무일시 : 주 5일(월~금) 08:30~17:30
- 근무지역 : (05505) 서울 송파구 올림픽로43길 88 서울아산병원 - 서울 2호선 잠실나루 에서 800m 이내

■ 접수기간 및 방법
- 접수기간 : 2022년 12월 20일 (화) 09시 ~ 2023년 1월 19일 (목) 24시
- 접수방법 : 사람인 입사지원
- 이력서양식 : 사람인 온라인 이력서

■ 유의사항
- 입사지원 서류에 허위사실이 발견될 경우, 채용확정 이후라도 채용이 취소될 수 있습니다.",https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=44676679&view_type=search,3.0,,,0.0,2023.02.04 16:00:00,
